sample_name,read_1,read_2,accession_number,year,country,publication,purpose
ERR1010106,/data/slow/bdri/azuza/samples/ERR1010106_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010106_2.fastq.gz,ERR1010106,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010090,/data/slow/bdri/azuza/samples/ERR1010090_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010090_2.fastq.gz,ERR1010090,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010113,/data/slow/bdri/azuza/samples/ERR1010113_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010113_2.fastq.gz,ERR1010113,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010119,/data/slow/bdri/azuza/samples/ERR1010119_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010119_2.fastq.gz,ERR1010119,2013,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010121,/data/slow/bdri/azuza/samples/ERR1010121_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010121_2.fastq.gz,ERR1010121,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010133,/data/slow/bdri/azuza/samples/ERR1010133_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010133_2.fastq.gz,ERR1010133,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010134,/data/slow/bdri/azuza/samples/ERR1010134_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010134_2.fastq.gz,ERR1010134,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010140,/data/slow/bdri/azuza/samples/ERR1010140_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010140_2.fastq.gz,ERR1010140,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010148,/data/slow/bdri/azuza/samples/ERR1010148_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010148_2.fastq.gz,ERR1010148,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010095,/data/slow/bdri/azuza/samples/ERR1010095_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010095_2.fastq.gz,ERR1010095,2013,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010156,/data/slow/bdri/azuza/samples/ERR1010156_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010156_2.fastq.gz,ERR1010156,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010096,/data/slow/bdri/azuza/samples/ERR1010096_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010096_2.fastq.gz,ERR1010096,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010097,/data/slow/bdri/azuza/samples/ERR1010097_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010097_2.fastq.gz,ERR1010097,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984707,/data/slow/bdri/azuza/samples/ERR984707_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984707_2.fastq.gz,ERR984707,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984755,/data/slow/bdri/azuza/samples/ERR984755_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984755_2.fastq.gz,ERR984755,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984776,/data/slow/bdri/azuza/samples/ERR984776_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984776_2.fastq.gz,ERR984776,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984783,/data/slow/bdri/azuza/samples/ERR984783_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984783_2.fastq.gz,ERR984783,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984827,/data/slow/bdri/azuza/samples/ERR984827_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984827_2.fastq.gz,ERR984827,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984834,/data/slow/bdri/azuza/samples/ERR984834_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984834_2.fastq.gz,ERR984834,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR984858,/data/slow/bdri/azuza/samples/ERR984858_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR984858_2.fastq.gz,ERR984858,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010003,/data/slow/bdri/azuza/samples/ERR1010003_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010003_2.fastq.gz,ERR1010003,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR1010114,/data/slow/bdri/azuza/samples/ERR1010114_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR1010114_2.fastq.gz,ERR1010114,2012,Kenya,Park et al. 2018,Global H58 Phylogeny
ERR331368,/data/slow/bdri/azuza/samples/ERR331368_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331368_2.fastq.gz,ERR331368,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331369,/data/slow/bdri/azuza/samples/ERR331369_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331369_2.fastq.gz,ERR331369,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331372,/data/slow/bdri/azuza/samples/ERR331372_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331372_2.fastq.gz,ERR331372,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331374,/data/slow/bdri/azuza/samples/ERR331374_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331374_2.fastq.gz,ERR331374,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331375,/data/slow/bdri/azuza/samples/ERR331375_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331375_2.fastq.gz,ERR331375,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331376,/data/slow/bdri/azuza/samples/ERR331376_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331376_2.fastq.gz,ERR331376,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331377,/data/slow/bdri/azuza/samples/ERR331377_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331377_2.fastq.gz,ERR331377,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331378,/data/slow/bdri/azuza/samples/ERR331378_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331378_2.fastq.gz,ERR331378,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331379,/data/slow/bdri/azuza/samples/ERR331379_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331379_2.fastq.gz,ERR331379,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR331380,/data/slow/bdri/azuza/samples/ERR331380_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR331380_2.fastq.gz,ERR331380,2008,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108648,/data/slow/bdri/azuza/samples/ERR108648_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108648_2.fastq.gz,ERR108648,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108656,/data/slow/bdri/azuza/samples/ERR108656_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108656_2.fastq.gz,ERR108656,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108658,/data/slow/bdri/azuza/samples/ERR108658_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108658_2.fastq.gz,ERR108658,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108659,/data/slow/bdri/azuza/samples/ERR108659_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108659_2.fastq.gz,ERR108659,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108660,/data/slow/bdri/azuza/samples/ERR108660_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108660_2.fastq.gz,ERR108660,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108664,/data/slow/bdri/azuza/samples/ERR108664_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108664_2.fastq.gz,ERR108664,2010,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108676,/data/slow/bdri/azuza/samples/ERR108676_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108676_2.fastq.gz,ERR108676,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108679,/data/slow/bdri/azuza/samples/ERR108679_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108679_2.fastq.gz,ERR108679,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108693,/data/slow/bdri/azuza/samples/ERR108693_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108693_2.fastq.gz,ERR108693,2009,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR108694,/data/slow/bdri/azuza/samples/ERR108694_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR108694_2.fastq.gz,ERR108694,2010,Tanzania,Wong et al. 2016,Global H58 Phylogeny
ERR998520,/data/slow/bdri/azuza/samples/ERR998520_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998520_2.fastq.gz,ERR998520,2012,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998536,/data/slow/bdri/azuza/samples/ERR998536_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998536_2.fastq.gz,ERR998536,2011,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998581,/data/slow/bdri/azuza/samples/ERR998581_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998581_2.fastq.gz,ERR998581,2012,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998600,/data/slow/bdri/azuza/samples/ERR998600_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998600_2.fastq.gz,ERR998600,2012,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998604,/data/slow/bdri/azuza/samples/ERR998604_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998604_2.fastq.gz,ERR998604,2012,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998610,/data/slow/bdri/azuza/samples/ERR998610_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998610_2.fastq.gz,ERR998610,2012,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998614,/data/slow/bdri/azuza/samples/ERR998614_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998614_2.fastq.gz,ERR998614,2011,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998619,/data/slow/bdri/azuza/samples/ERR998619_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998619_2.fastq.gz,ERR998619,2011,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR998633,/data/slow/bdri/azuza/samples/ERR998633_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR998633_2.fastq.gz,ERR998633,2012,Tanzania,Park et al. 2018,Global H58 Phylogeny
ERR352442,/data/slow/bdri/azuza/samples/ERR352442_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR352442_2.fastq.gz,ERR352442,2012,Africa,Wong et al. 2016,Global H58 Phylogeny
ERR360793,/data/slow/bdri/azuza/samples/ERR360793_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360793_2.fastq.gz,ERR360793,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360802,/data/slow/bdri/azuza/samples/ERR360802_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360802_2.fastq.gz,ERR360802,2010,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360805,/data/slow/bdri/azuza/samples/ERR360805_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360805_2.fastq.gz,ERR360805,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360806,/data/slow/bdri/azuza/samples/ERR360806_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360806_2.fastq.gz,ERR360806,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360807,/data/slow/bdri/azuza/samples/ERR360807_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360807_2.fastq.gz,ERR360807,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360809,/data/slow/bdri/azuza/samples/ERR360809_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360809_2.fastq.gz,ERR360809,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360810,/data/slow/bdri/azuza/samples/ERR360810_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360810_2.fastq.gz,ERR360810,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360811,/data/slow/bdri/azuza/samples/ERR360811_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360811_2.fastq.gz,ERR360811,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360794,/data/slow/bdri/azuza/samples/ERR360794_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360794_2.fastq.gz,ERR360794,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360815,/data/slow/bdri/azuza/samples/ERR360815_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360815_2.fastq.gz,ERR360815,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360816,/data/slow/bdri/azuza/samples/ERR360816_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360816_2.fastq.gz,ERR360816,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360817,/data/slow/bdri/azuza/samples/ERR360817_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360817_2.fastq.gz,ERR360817,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360818,/data/slow/bdri/azuza/samples/ERR360818_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360818_2.fastq.gz,ERR360818,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360819,/data/slow/bdri/azuza/samples/ERR360819_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360819_2.fastq.gz,ERR360819,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360827,/data/slow/bdri/azuza/samples/ERR360827_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360827_2.fastq.gz,ERR360827,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360828,/data/slow/bdri/azuza/samples/ERR360828_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360828_2.fastq.gz,ERR360828,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360829,/data/slow/bdri/azuza/samples/ERR360829_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360829_2.fastq.gz,ERR360829,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360830,/data/slow/bdri/azuza/samples/ERR360830_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360830_2.fastq.gz,ERR360830,2013,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360797,/data/slow/bdri/azuza/samples/ERR360797_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360797_2.fastq.gz,ERR360797,2010,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360798,/data/slow/bdri/azuza/samples/ERR360798_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360798_2.fastq.gz,ERR360798,2010,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360799,/data/slow/bdri/azuza/samples/ERR360799_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360799_2.fastq.gz,ERR360799,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360801,/data/slow/bdri/azuza/samples/ERR360801_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360801_2.fastq.gz,ERR360801,2010,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279109,/data/slow/bdri/azuza/samples/ERR279109_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279109_2.fastq.gz,ERR279109,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279113,/data/slow/bdri/azuza/samples/ERR279113_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279113_2.fastq.gz,ERR279113,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279114,/data/slow/bdri/azuza/samples/ERR279114_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279114_2.fastq.gz,ERR279114,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279116,/data/slow/bdri/azuza/samples/ERR279116_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279116_2.fastq.gz,ERR279116,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279099,/data/slow/bdri/azuza/samples/ERR279099_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279099_2.fastq.gz,ERR279099,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279118,/data/slow/bdri/azuza/samples/ERR279118_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279118_2.fastq.gz,ERR279118,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279121,/data/slow/bdri/azuza/samples/ERR279121_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279121_2.fastq.gz,ERR279121,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279122,/data/slow/bdri/azuza/samples/ERR279122_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279122_2.fastq.gz,ERR279122,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279123,/data/slow/bdri/azuza/samples/ERR279123_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279123_2.fastq.gz,ERR279123,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279124,/data/slow/bdri/azuza/samples/ERR279124_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279124_2.fastq.gz,ERR279124,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279125,/data/slow/bdri/azuza/samples/ERR279125_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279125_2.fastq.gz,ERR279125,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279100,/data/slow/bdri/azuza/samples/ERR279100_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279100_2.fastq.gz,ERR279100,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279128,/data/slow/bdri/azuza/samples/ERR279128_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279128_2.fastq.gz,ERR279128,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279129,/data/slow/bdri/azuza/samples/ERR279129_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279129_2.fastq.gz,ERR279129,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279130,/data/slow/bdri/azuza/samples/ERR279130_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279130_2.fastq.gz,ERR279130,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279131,/data/slow/bdri/azuza/samples/ERR279131_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279131_2.fastq.gz,ERR279131,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279132,/data/slow/bdri/azuza/samples/ERR279132_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279132_2.fastq.gz,ERR279132,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279133,/data/slow/bdri/azuza/samples/ERR279133_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279133_2.fastq.gz,ERR279133,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279136,/data/slow/bdri/azuza/samples/ERR279136_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279136_2.fastq.gz,ERR279136,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279101,/data/slow/bdri/azuza/samples/ERR279101_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279101_2.fastq.gz,ERR279101,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279138,/data/slow/bdri/azuza/samples/ERR279138_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279138_2.fastq.gz,ERR279138,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279142,/data/slow/bdri/azuza/samples/ERR279142_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279142_2.fastq.gz,ERR279142,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279144,/data/slow/bdri/azuza/samples/ERR279144_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279144_2.fastq.gz,ERR279144,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279102,/data/slow/bdri/azuza/samples/ERR279102_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279102_2.fastq.gz,ERR279102,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279147,/data/slow/bdri/azuza/samples/ERR279147_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279147_2.fastq.gz,ERR279147,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279148,/data/slow/bdri/azuza/samples/ERR279148_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279148_2.fastq.gz,ERR279148,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279149,/data/slow/bdri/azuza/samples/ERR279149_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279149_2.fastq.gz,ERR279149,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279150,/data/slow/bdri/azuza/samples/ERR279150_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279150_2.fastq.gz,ERR279150,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279151,/data/slow/bdri/azuza/samples/ERR279151_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279151_2.fastq.gz,ERR279151,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279152,/data/slow/bdri/azuza/samples/ERR279152_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279152_2.fastq.gz,ERR279152,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279155,/data/slow/bdri/azuza/samples/ERR279155_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279155_2.fastq.gz,ERR279155,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279156,/data/slow/bdri/azuza/samples/ERR279156_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279156_2.fastq.gz,ERR279156,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279103,/data/slow/bdri/azuza/samples/ERR279103_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279103_2.fastq.gz,ERR279103,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279158,/data/slow/bdri/azuza/samples/ERR279158_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279158_2.fastq.gz,ERR279158,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279159,/data/slow/bdri/azuza/samples/ERR279159_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279159_2.fastq.gz,ERR279159,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279160,/data/slow/bdri/azuza/samples/ERR279160_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279160_2.fastq.gz,ERR279160,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279162,/data/slow/bdri/azuza/samples/ERR279162_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279162_2.fastq.gz,ERR279162,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279163,/data/slow/bdri/azuza/samples/ERR279163_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279163_2.fastq.gz,ERR279163,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279164,/data/slow/bdri/azuza/samples/ERR279164_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279164_2.fastq.gz,ERR279164,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279165,/data/slow/bdri/azuza/samples/ERR279165_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279165_2.fastq.gz,ERR279165,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279166,/data/slow/bdri/azuza/samples/ERR279166_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279166_2.fastq.gz,ERR279166,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279168,/data/slow/bdri/azuza/samples/ERR279168_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279168_2.fastq.gz,ERR279168,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279170,/data/slow/bdri/azuza/samples/ERR279170_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279170_2.fastq.gz,ERR279170,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279173,/data/slow/bdri/azuza/samples/ERR279173_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279173_2.fastq.gz,ERR279173,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279174,/data/slow/bdri/azuza/samples/ERR279174_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279174_2.fastq.gz,ERR279174,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279175,/data/slow/bdri/azuza/samples/ERR279175_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279175_2.fastq.gz,ERR279175,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279176,/data/slow/bdri/azuza/samples/ERR279176_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279176_2.fastq.gz,ERR279176,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279105,/data/slow/bdri/azuza/samples/ERR279105_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279105_2.fastq.gz,ERR279105,2012,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR279106,/data/slow/bdri/azuza/samples/ERR279106_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR279106_2.fastq.gz,ERR279106,2011,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR338002,/data/slow/bdri/azuza/samples/ERR338002_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338002_2.fastq.gz,ERR338002,2005,S.Africa,Wong et al. 2016,Global H58 Phylogeny
ERR338023,/data/slow/bdri/azuza/samples/ERR338023_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338023_2.fastq.gz,ERR338023,2010,S.Africa,Wong et al. 2016,Global H58 Phylogeny
ERR338034,/data/slow/bdri/azuza/samples/ERR338034_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338034_2.fastq.gz,ERR338034,2011,S.Africa,Wong et al. 2016,Global H58 Phylogeny
ERR338036,/data/slow/bdri/azuza/samples/ERR338036_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR338036_2.fastq.gz,ERR338036,2012,S.Africa,Wong et al. 2016,Global H58 Phylogeny
ERR3332562,/data/slow/bdri/azuza/samples/ERR3332562_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332562_2.fastq.gz,ERR3332562,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR360824,/data/slow/bdri/azuza/samples/ERR360824_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360824_2.fastq.gz,ERR360824,2010,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR360832,/data/slow/bdri/azuza/samples/ERR360832_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR360832_2.fastq.gz,ERR360832,2010,Malawi,Wong et al. 2016,Global H58 Phylogeny
ERR2602669,/data/slow/bdri/azuza/samples/ERR2602669_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2602669_2.fastq.gz,ERR2602669,2016,Malawi,Jillian et al. 2021,Malawian H58
